offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
1,1,30,1,1,9999,TRUE,TRUE,FALSE,TRUE,52,84,7,11,0,0,0,0,0,0,ttip1
1,1,300,1,1,8888,TRUE,TRUE,FALSE,TRUE,18,76,7,22,0,24,0,0,0,0,ttip2
1,1,50,1,1,8888,TRUE,TRUE,FALSE,TRUE,25,61,7,9,0,23,0,0,0,0,ttip3
5,1,100,1,0.01,14,FALSE,FALSE,FALSE,TRUE,24,68,7,0,0,0,0,0,0,0,ttip1.1
10,1,5,1,0.1,44,FALSE,FALSE,FALSE,TRUE,24,68,7,0,0,0,0,0,0,0,ttip1.2
15,1,5,2,0.2,16,FALSE,FALSE,FALSE,TRUE,24,64,7,0,0,0,0,0,0,0,ttip1.3
45,1,30,3,1,25,FALSE,FALSE,FALSE,TRUE,24,64,7,0,0,0,0,0,0,0,ttip1.4
75,1,4,3,0.4,75,FALSE,FALSE,FALSE,TRUE,24,64,7,0,0,0,0,0,0,0,ttip1.5
115,1,4,3,0.4,25,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip1.6
225,1,3,5,50,46,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip1.7
365,1,2,8,50,25,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip1.8
425,1,2,13,50,48,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip1.9
175,1,10,2,999,9999,FALSE,TRUE,FALSE,TRUE,38,55,29,0,0,0,0,0,0,0,ttip1.10
225,1,0.1,2,999,9999,FALSE,TRUE,FALSE,TRUE,38,55,29,0,0,0,0,0,0,0,ttip1.11
375,1,0.1,3,999,9999,FALSE,TRUE,FALSE,TRUE,38,55,29,0,0,0,0,0,0,0,ttip1.12
725,1,1,3,999,9999,FALSE,TRUE,FALSE,TRUE,38,55,29,0,0,0,0,0,0,0,ttip1.13
885,1,0.1,5,999,9999,FALSE,TRUE,FALSE,TRUE,38,55,29,18,0,0,0,0,0,0,ttip1.14
1125,1,1,10,999,9999,FALSE,TRUE,FALSE,TRUE,46,55,29,28,0,0,0,0,0,0,ttip1.15
1325,1,0.2,15,999,9999,FALSE,TRUE,FALSE,TRUE,46,55,29,28,0,0,0,0,0,0,ttip1.16
38,1,0.2,1,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.1
89,1,1.6,1,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.2
135,1,2.2,2,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.3
205,1,1.2,3,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.4
265,1,1.4,5,999,9999,FALSE,TRUE,FALSE,TRUE,19,71,29,0,0,24,0,0,0,0,ttip2.5
265,1,1.4,5,999,9999,FALSE,TRUE,FALSE,TRUE,19,71,29,0,0,0,0,0,0,0,ttip2.6
365,1,2,5,999,9999,FALSE,TRUE,FALSE,TRUE,22,71,29,0,0,0,0,0,0,0,ttip2.9
425,1,1.3,5,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.10
465,1,1.6,5,999,9999,FALSE,TRUE,FALSE,TRUE,41,71,29,0,0,0,0,0,0,0,ttip2.11
75,1,5,2,999,9999,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip3.1
125,1,5,2,999,9999,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip3.2
257,1,4,5,999,9999,FALSE,FALSE,FALSE,TRUE,17,55,29,0,0,0,0,0,0,0,ttip3.3
365,1,4,5,999,9999,FALSE,FALSE,FALSE,TRUE,22,55,29,0,0,0,0,0,0,0,ttip3.4
425,1,3,8,999,9999,FALSE,FALSE,FALSE,TRUE,25,55,29,0,0,0,0,0,0,0,ttip3.5
475,1,3,8,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.6
625,1,3,13,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.7
710,1,3,15,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.8
805,1,2,15,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.9
925,1,3,20,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.10
1050,1,1.4,35,999,9999,FALSE,FALSE,FALSE,TRUE,36,55,29,0,0,0,0,0,0,0,ttip3.11
5,1,25,2,0.01,9999,FALSE,FALSE,FALSE,TRUE,24,68,29,0,0,0,0,0,0,0,ttip2.10.1
10,1,5,2,0.1,9999,FALSE,FALSE,FALSE,TRUE,24,68,29,0,0,0,0,0,0,0,ttip2.10.2
15,1,5,3,0.2,9999,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip2.10.3
45,1,3,3,1,9999,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip2.10.4
75,1,0.5,5,0.4,9999,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip2.10.5
115,1,2,5,0.4,9999,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip2.10.6
225,1,10,5,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,29,0,0,0,0,0,0,0,ttip1.12.1
275,1,0.1,5,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,29,0,0,0,0,0,0,0,ttip1.12.2
