offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
1,1,430,5%,1,8888,TRUE,TRUE,TRUE,FALSE,28,55,43,5,0,0,0,0,0,0,dip1
1,1,50,5%,1,8888,TRUE,TRUE,TRUE,FALSE,45,55,43,12,0,0,0,0,0,0,dip2
1,1,50,5%,1,8888,TRUE,TRUE,TRUE,FALSE,40,55,43,22,0,0,0,0,0,0,dip3
18,1,30,5%,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip1.1
22,1,30,5%,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip1.2
22,1,10,5%,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip1.3
477,1,0.1,5%,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip1.4
599,1,0.1,5%,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip1.5
799,1,0.1,5%,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip1.6
1020,1,0.1,5%,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip1.7
40,1,0.2,5%,5,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip2.1
90,1,0.1,5%,5,9999,FALSE,TRUE,TRUE,FALSE,37,55,43,0,0,0,0,0,0,0,dip2.2
220,1,1.6,5%,10,9999,FALSE,TRUE,TRUE,FALSE,37,55,43,0,0,0,0,0,0,0,dip2.3
460,1,1.7,5%,15,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip2.4
1,1,430,5%,1,8888,TRUE,TRUE,FALSE,TRUE,60,76,43,0,55,0,8888,0,0,0,tip1
1,1,50,5%,1,8888,TRUE,TRUE,FALSE,TRUE,45,70,43,32,0,0,0,0,0,0,tip2
1,1,20,5%,1,8888,TRUE,TRUE,FALSE,TRUE,45,73,43,0,0,0,0,0,0,0,tip3
126,1,2.24,5%,5,9999,FALSE,TRUE,FALSE,TRUE,45,72,43,0,55,0,0,0,0,0,tip1.1
142,1,2.24,5%,5,9999,FALSE,TRUE,FALSE,TRUE,45,72,43,0,155,0,0,0,0,0,tip1.2
289,1,0.6,5%,5,9999,FALSE,TRUE,FALSE,TRUE,45,64,43,0,255,0,0,0,0,0,tip1.3
376,1,0.45,5%,10,9999,FALSE,TRUE,FALSE,TRUE,45,64,43,0,0,0,0,0,0,0,tip1.4
479,1,1.4,5%,15,9999,FALSE,TRUE,FALSE,TRUE,45,64,43,0,0,0,0,0,0,0,tip1.5
574,1,0.4,5%,15,9999,FALSE,TRUE,FALSE,TRUE,45,64,43,0,0,0,0,0,0,0,tip1.6
777,1,0.2,5%,25,9999,FALSE,TRUE,FALSE,TRUE,45,64,43,0,0,0,0,0,0,0,tip1.7
40,1,0.2,5%,5,9999,FALSE,TRUE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip2.1
90,1,0.1,5%,5,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,0,0,0,0,0,0,0,tip2.2
220,1,1.6,5%,10,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,0,0,0,0,0,0,0,tip2.3
460,1,1.7,5%,15,9999,FALSE,TRUE,FALSE,TRUE,36,55,43,0,0,0,0,0,0,0,tip2.4
