offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
6,1,7,5,1,9999,FALSE,FALSE,TRUE,TRUE,44,78,14,0,0,0,2,5,0,0,New2v1
9,1,9,5,1,9999,FALSE,FALSE,TRUE,TRUE,44,78,14,1,0,0,2,5,0,0,New2v2
12,1,2,5,1,9999,FALSE,FALSE,TRUE,TRUE,44,76,14,0,0,0,2,5,0,0,New2v3
18,1,3,10,12,9999,FALSE,FALSE,TRUE,TRUE,47,72,18,1,0,1,2,5,0,0,New2v4
23,1,4,10,12,9999,FALSE,FALSE,TRUE,TRUE,47,70,18,4,0,3,2,5,0,0,New2v5
67,1,6,10,16,9999,FALSE,FALSE,TRUE,TRUE,47,70,18,6,0,2,2,5,0,0,New2v6
97,1,2,15,22,9999,FALSE,FALSE,TRUE,TRUE,47,65,18,9,0,16,2,5,0,0,New2v7
105,1,0.5,15,22,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,0,0,0,2,5,0,0,New2v8
112,1,6,15,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,0,0,2,2,5,0,0,New2v9
122,1,2,25,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,0,0,1,2,5,0,0,New2v10
133,1,0.3,25,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,0,0,0,2,5,0,0,New2v11
144,1,6,25,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,14,0,32,2,5,0,0,New2v12
151,1,2,50,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,16,0,32,2,5,0,0,New2v13
162,1,0.3,50,9999,9999,FALSE,FALSE,TRUE,TRUE,47,55,18,22,0,32,2,5,0,0,New2v14
6,1,7,5,9,9999,TRUE,FALSE,TRUE,TRUE,44,92,14,0,0,0,2,5,0,0,MicroBull1
9,1,9,6,10,9999,TRUE,FALSE,TRUE,TRUE,44,92,14,1,0,0,2,5,0,0,MicroBull2
12,1,2,7,12,9999,TRUE,FALSE,TRUE,TRUE,44,92,14,0,0,0,2,5,0,0,MicroBull3
18,1,3,8,12,9999,TRUE,FALSE,TRUE,TRUE,47,90,18,1,0,0,2,5,0,0,MicroBull4
23,1,4,9,12,9999,TRUE,FALSE,TRUE,TRUE,47,91,18,4,0,3,2,5,0,0,MicroBull5
